environment_seed,allocation
290014,"[""feedforward-202"",""feedforward-303"",""recurrent-101"",""hybrid-101"",""hybrid-202"",""connectome"",""hybrid-303"",""recurrent-202"",""recurrent-303"",""feedforward-101""]"
290015,"[""feedforward-101"",""feedforward-202"",""feedforward-303"",""recurrent-101"",""hybrid-101"",""hybrid-202"",""connectome"",""hybrid-303"",""recurrent-202"",""recurrent-303""]"
290016,"[""recurrent-303"",""feedforward-101"",""feedforward-202"",""feedforward-303"",""recurrent-101"",""hybrid-101"",""hybrid-202"",""connectome"",""hybrid-303"",""recurrent-202""]"
290017,"[""recurrent-202"",""recurrent-303"",""feedforward-101"",""feedforward-202"",""feedforward-303"",""recurrent-101"",""hybrid-101"",""hybrid-202"",""connectome"",""hybrid-303""]"
290018,"[""hybrid-303"",""recurrent-202"",""recurrent-303"",""feedforward-101"",""feedforward-202"",""feedforward-303"",""recurrent-101"",""hybrid-101"",""hybrid-202"",""connectome""]"
290019,"[""connectome"",""hybrid-303"",""recurrent-202"",""recurrent-303"",""feedforward-101"",""feedforward-202"",""feedforward-303"",""recurrent-101"",""hybrid-101"",""hybrid-202""]"
290020,"[""hybrid-202"",""connectome"",""hybrid-303"",""recurrent-202"",""recurrent-303"",""feedforward-101"",""feedforward-202"",""feedforward-303"",""recurrent-101"",""hybrid-101""]"
290021,"[""recurrent-303"",""recurrent-202"",""connectome"",""hybrid-101"",""hybrid-202"",""hybrid-303"",""feedforward-303"",""feedforward-202"",""recurrent-101"",""feedforward-101""]"
290022,"[""feedforward-101"",""recurrent-303"",""recurrent-202"",""connectome"",""hybrid-101"",""hybrid-202"",""hybrid-303"",""feedforward-303"",""feedforward-202"",""recurrent-101""]"
290023,"[""recurrent-101"",""feedforward-101"",""recurrent-303"",""recurrent-202"",""connectome"",""hybrid-101"",""hybrid-202"",""hybrid-303"",""feedforward-303"",""feedforward-202""]"
290024,"[""feedforward-202"",""recurrent-101"",""feedforward-101"",""recurrent-303"",""recurrent-202"",""connectome"",""hybrid-101"",""hybrid-202"",""hybrid-303"",""feedforward-303""]"
290025,"[""feedforward-303"",""feedforward-202"",""recurrent-101"",""feedforward-101"",""recurrent-303"",""recurrent-202"",""connectome"",""hybrid-101"",""hybrid-202"",""hybrid-303""]"
290026,"[""hybrid-303"",""feedforward-303"",""feedforward-202"",""recurrent-101"",""feedforward-101"",""recurrent-303"",""recurrent-202"",""connectome"",""hybrid-101"",""hybrid-202""]"
290027,"[""hybrid-202"",""hybrid-303"",""feedforward-303"",""feedforward-202"",""recurrent-101"",""feedforward-101"",""recurrent-303"",""recurrent-202"",""connectome"",""hybrid-101""]"
290028,"[""hybrid-101"",""hybrid-202"",""hybrid-303"",""feedforward-303"",""feedforward-202"",""recurrent-101"",""feedforward-101"",""recurrent-303"",""recurrent-202"",""connectome""]"
290029,"[""connectome"",""hybrid-101"",""hybrid-202"",""hybrid-303"",""feedforward-303"",""feedforward-202"",""recurrent-101"",""feedforward-101"",""recurrent-303"",""recurrent-202""]"
290030,"[""recurrent-202"",""connectome"",""hybrid-101"",""hybrid-202"",""hybrid-303"",""feedforward-303"",""feedforward-202"",""recurrent-101"",""feedforward-101"",""recurrent-303""]"
